"","code_id","type_id","group_id","code_name","group_name","specific_type_id"
"1","0500F","CPT","XX0000","INITIAL PRENATAL CARE VISIT","Ungrouped Codes",""
"2","99201","CPT","CT99309","Office or other outpatient visit for the evaluation and management of a new patient, which requires these three key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/or coord","Physician Services",""
"3","99202","CPT","CT99309","Office or other outpatient visit for the evaluation and management of a new patient, which requires these three key components: An expanded problem focused history; An expanded problem focused examination; Straightforward medical decision making. Cou","Physician Services",""
"4","99203","CPT","CT99309","Office or other outpatient visit for the evaluation and management of a new patient, which requires these three key components: A detailed history; A detailed examination; Medical decision making of low complexity. Counseling and/or coordination of c","Physician Services",""
"5","99204","CPT","CT99309","Office or other outpatient visit for the evaluation and management of a new patient, which requires these three key components: A comprehensive history; A comprehensive examination; Medical decision making of moderate complexity. Counseling and/or co","Physician Services",""
"6","99205","CPT","CT99309","Office or other outpatient visit for the evaluation and management of a new patient, which requires these three key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordi","Physician Services",""
"7","99381","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"8","99382","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"9","99383","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"10","99384","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"11","99385","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"12","99386","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"13","99387","CPT","CT99310","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriate i","Preventive Medicine, Counseling, Coordination",""
"14","99432","CPT","CT1501","Normal newborn care in other than hospital or birthing room setting, including physical examination of baby and conference(s) with parent(s)","E & M - newborn care",""
"15","G0101","HCPC","CT9907","cervical or vaginal cancer screening; pelvic and clinical breast examination","E & M - prevention",""
"16","G0245","HCPC","CT99310","initial physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) which must include: (1) the diagnosis of lops, (2) a patient history, (3) a physical examination tha","Preventive Medicine, Counseling, Coordination",""
"17","G0248","HCPC","CT16289","demonstration, prior to initial use, of home inr monitoring for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria, under the direction of a physician; includes: ","Anticoagulant Management",""
"18","G0344","HCPC","XX0000","Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first six months of Medicare enrollment","Ungrouped Codes",""
"19","G0402","HCPC","CT99310","initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment","Preventive Medicine, Counseling, Coordination",""
"20","0502F","CPT","XX0000","SUBSEQUENT PRENATAL CARE","Ungrouped Codes",""
"21","0503F","CPT","XX0000","POSTPARTUM CARE VISIT","Ungrouped Codes",""
"22","1000F","CPT","XX0000","TOBACCO USE ASSESSED","Ungrouped Codes",""
"23","2000F","CPT","CT99310","BLOOD PRESSURE MEASURE","Preventive Medicine, Counseling, Coordination",""
"24","95115","CPT","CT2301","Professional services for allergen immunotherapy not including provision of allergenic extracts; single injection","Therapy - allergy treatment",""
"25","95117","CPT","CT2301","Professional services for allergen immunotherapy not including provision of allergenic extracts; two or more injections","Therapy - allergy treatment",""
"26","99058","CPT","CT9904","Service(s) provided on an emergency basis in the office, which disrupts other scheduled office services, in addition to basic service","E & M - emergency care",""
"27","99211","CPT","CT99309","Office or other outpatient visit for the evaluation and management of an established patient, that may not require the presence of a physician. Usually, the presenting problem(s) are minimal. Typically, 5 minutes are spent performing or supervising t","Physician Services",""
"28","99212","CPT","CT99309","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least two of these three key components: A problem focused history; A problem focused examination; Straightforward medical decision making","Physician Services",""
"29","99213","CPT","CT99309","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least two of these three key components: An expanded problem focused history; An expanded problem focused examination; Medical decision ma","Physician Services",""
"30","99214","CPT","CT99309","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least two of these three key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Couns","Physician Services",""
"31","99215","CPT","CT99309","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least two of these three key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity.","Physician Services",""
"32","99354","CPT","CT99309","Prolonged physician service in the office or other outpatient setting requiring direct (face-to-face) patient contact beyond the usual service (eg, prolonged care and treatment of an acute asthmatic patient in an outpatient setting); first hour (List","Physician Services",""
"33","99355","CPT","CT99309","Prolonged physician service in the office or other outpatient setting requiring direct (face-to-face) patient contact beyond the usual service (eg, prolonged care and treatment of an acute asthmatic patient in an outpatient setting); each additional ","Physician Services",""
"34","99366","CPT","CT99310","Medical team conference with interdisciplinary team of health care professionals, face-to-face with patient and/or family, 30 minutes or more, participation by nonphysician qualified health care professional","Preventive Medicine, Counseling, Coordination",""
"35","99367","CPT","CT99310","TEAM CONF W/O PAT BY PHYS","Preventive Medicine, Counseling, Coordination",""
"36","99391","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"37","99392","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"38","99393","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"39","99394","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
